name,station_number,elevation,easting_original,northing_original,easting,northing
1033_1526,1036,2276.307,2702232.761,1173026.178,1032.7609999999404,1526.1780000000726
1062_1527,1037,2271.566,2702261.516,1173026.817,1061.5159999998286,1526.8170000000391
1090_1527,1038,2270.54,2702289.662,1173026.552,1089.6620000000112,1526.5519999999087
1119_1527,1039,2271.716,2702319.282,1173026.679,1119.282000000123,1526.6790000000037
1148_1529,1040,2274.812,2702347.764,1173028.545,1147.7639999999665,1528.5449999999255
1176_1528,1041,2283.015,2702375.504,1173027.988,1175.50400000019,1527.9879999998957
1204_1528,1042,2287.233,2702403.828,1173028.489,1203.8280000002123,1528.4890000000596
1234_1529,1043,2287.036,2702433.919,1173029.191,1233.9190000002272,1529.191000000108
1262_1529,1044,2283.344,2702462.215,1173029.215,1262.214999999851,1529.2150000000838
1290_1530,1045,2285.774,2702490.081,1173030.244,1290.0809999997728,1530.2439999999478
1319_1528,1046,2288.319,2702518.512,1173028.183,1318.5120000001043,1528.1829999999609
1348_1530,1047,2287.314,2702547.744,1173030.13,1347.7439999999478,1530.1299999998882
1376_1530,1048,2289.937,2702575.602,1173030.039,1375.6019999999553,1530.0390000001062
1404_1532,1049,2298.304,2702603.709,1173031.83,1403.7089999997988,1531.8300000000745
1434_1532,1050,2308.179,2702633.788,1173032.386,1433.788000000175,1532.3859999999404
1461_1534,1051,2313.933,2702660.55,1173033.544,1460.5499999998137,1533.5439999999944
1490_1532,1052,2319.833,2702690.333,1173031.946,1490.3330000001006,1531.9459999999963
1516_1535,1053,2327.681,2702716.368,1173035.477,1516.367999999784,1535.4769999999553
1547_1534,1054,2331.339,2702746.981,1173034.039,1546.9810000001453,1534.0390000001062
 593_1495,1056,2176.517,2701792.844,1172995.407,592.844000000041,1495.40699999989
